code,food_group,reference,food_item_name,moisture_g,energy_kcal,energy_kj,nitrogen_g,protein_g,fat_g,safa_g,mufa_g,pufa_g,cholesterol_mg,carbohydrate_total_g,carbohydrate_available_g,total_sugar_g,added_sugar_g,fiber_g,starch_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mcg,iodine_mcg,selenium_mcg,vitamin_a_rae_mcg,vitamin_a_re_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,folate_mcg,vitamin_b12_mcg,pantothenate_mg,biotin_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,phytate_mg,data_quality_flags
MW07_0061,Baby foods,ZA,"BMS, follow-up formula, S-26 Promil Gold 2, reconstituted/100mL",90.0,63,266,0.34,2.1,3.0,1.30,0.90,0.60,0,7.0,7.0,,,0.0,,0.3,76,1.2,9,51,90,34,0.40,0.03,35,,,,59,0.05,0.14,0.4,0.040,8,0.2,0.35,1.0,9,1.00,0.70,,
MW07_0062,Baby foods,ZA,"BMS, follow-up formula, soy based, Infasoy 2 powder",2.0,497,2081,2.62,16.4,23.9,9.50,5.90,7.10,0,54.0,54.0,17.10,,0.0,,2.1,653,7.5,60,410,746,224,6.00,0.42,246,,,,519,0.75,1.12,4.5,0.410,60,1.5,2.24,26.0,67,7.90,5.50,,
MW07_0063,Baby foods,ZA,"BMS, follow-up formula, soy-based, Infasoy 2, reconstituted/100mL",89.8,66,275,0.35,2.2,3.2,1.30,0.80,0.90,0,7.0,7.0,2.30,,0.0,,0.3,88,1.0,8,55,100,30,0.80,0.06,33,,,,70,0.10,0.15,0.6,0.055,8,0.2,0.30,4.0,9,1.10,0.70,,
MW07_0064,Baby foods,ZA,"BMS, follow-up formula, soy-based, Isomil® 2 powder",2.0,471,1977,2.38,14.9,20.0,,,,,57.8,57.8,,,0.0,,2.2,530,7.0,56,350,600,220,5.00,0.33,300,,,,554,0.68,0.77,4.0,0.430,72,1.0,3.00,18.0,63,7.00,7.40,,
MW07_0065,Baby foods,ZA,"BMS, follow-up formula, soy-based, Isomil® 2, reconstituted/100mL",85.5,68,287,0.35,2.2,2.9,,,,,8.4,8.4,,,0.0,,0.3,77,1.0,8,51,87,32,0.73,0.05,40,,,,80,0.10,0.11,0.6,0.060,10,0.2,0.44,2.6,9,1.03,1.07,,
MW07_0066,Baby foods,ZA,"BMS, follow-up formula, soy-based, Isomil® 3, reconstituted/100mL",85.7,69,289,0.37,2.3,3.1,,,,,8.0,8.0,,,0.0,,0.4,95,1.2,9,66,100,35,0.78,0.07,40,,,,79,0.10,0.11,1.3,0.140,7,0.1,0.43,3.0,8,1.00,1.80,,
MW07_0067,Baby foods,ZA,"BMS, premature, whey-predominant formula, PreNan powder",3.0,503,2104,2.30,14.4,25.9,,,,,53.0,53.0,,,0.0,,2.6,760,10.4,50,445,605,269,6.30,0.80,70,,,,1350,0.90,1.30,14.9,0.800,300,2.0,6.00,25.0,125,19.00,20.10,,
MW07_0068,Baby foods,ZA,"BMS, premature, whey- predominant formula, PreNan, reconstituted/100mL",87.5,83,348,0.37,2.3,4.2,,,,,9.0,9.0,,,0.0,,0.4,122,1.7,8,72,97,43,1.00,0.10,10,,,,220,0.10,0.20,2.4,0.100,48,0.4,1.00,4.0,20,3.00,3.35,,
MW07_0069,Baby foods,ZA,"BMS, soy-based formula, Infasoy 1 powder",2.0,517,2161,2.21,13.8,27.7,11.10,6.90,8.10,0,53.0,53.0,19.20,,0.0,,2.0,515,6.2,51,385,554,146,4.60,0.43,154,,,,535,0.77,1.15,4.6,0.423,62,1.5,2.31,27.0,69,8.00,5.70,,
MW07_0070,Baby foods,ZA,"BMS, soy-based formula, Infasoy 1, reconstituted/100mL",89.8,68,283,0.29,1.8,3.6,1.40,0.90,1.00,0,7.0,7.0,2.50,,0.0,,0.3,67,0.8,7,50,72,19,0.60,0.06,20,,,,70,0.10,0.15,0.6,0.055,8,0.2,0.30,4.0,9,1.00,0.70,,
MW07_0071,Baby foods,ZA,"BMS, soy-based formula, Isomil® 1 powder",2.0,507,2122,2.05,12.8,27.4,,,,0.00,52.4,52.4,,,0.0,,2.2,532,7.8,41,380,578,243,6.00,0.36,300,,,,570,0.49,0.52,4.8,0.300,75,1.3,3.80,19.0,64,8.00,9.40,,
MW07_0072,Baby foods,ZA,"BMS, soy-based formula, Isomil® 1, reconstituted/100mL",86.6,68,285,0.27,1.7,3.7,,,,,7.0,7.0,,,0.0,,0.3,71,1.0,6,51,77,33,0.80,0.05,0,,,,76,0.07,0.07,0.6,0.040,10,0.2,0.51,2.5,9,1.10,1.30,,
MW07_0073,Baby foods,ZA,"BMS, whey-predominant formula, Infacare Classic 1 powder",3.0,507,2122,1.82,11.4,25.0,11.90,6.00,5.50,3,59.0,59.0,,,0.0,,1.6,345,6.1,35,240,490,155,3.80,0.35,32,,,,591,0.79,1.18,3.9,0.472,63,1.6,2.36,16.0,71,8.40,5.60,,
MW07_0074,Baby foods,ZA,"BMS, whey-predominant formula, Infacare Classic 1, reconstituted/100mL",88.0,68,284,0.24,1.5,3.3,1.60,0.80,0.70,0,8.0,8.0,,,0.0,,0.3,46,0.8,5,32,65,21,0.50,0.05,4,,,,78,0.10,0.16,0.5,0.062,8,0.2,0.31,2.0,9,1.10,0.70,,
MW07_0075,Baby foods,ZA,"BMS, whey-predominant formula, Nan 1 powder",3.0,502,2099,1.58,9.9,26.0,,,,,57.0,57.0,,,0.0,,1.6,325,5.4,50,170,500,190,5.00,0.40,0,,,,560,0.60,0.80,4.3,0.300,85,1.0,3.30,13.0,80,8.00,8.04,,
MW07_0076,Baby foods,ZA,"BMS, whey-predominant formula, Nan 1, reconstituted/100mL",90.4,69,288,0.21,1.3,3.5,,,,,8.0,8.0,,,0.0,,0.2,44,0.7,7,23,67,25,0.70,0.10,0,,,,75,0.10,0.10,0.6,0.050,11,0.1,0.40,2.0,11,1.00,1.34,,
MW07_0077,Baby foods,ZA,"BMS, whey-predominant formula, S-26 Classic 1, powder",2.0,522,2183,1.89,11.8,28.3,12.30,8.10,6.20,0,55.0,55.0,,,0.0,,1.7,362,6.3,50,262,551,126,4.70,0.44,39,,,,591,0.79,1.18,3.9,0.472,63,1.6,2.36,16.0,71,8.00,5.80,,
